Date,Cups_Count,MA_7,MA_30,day_of_week,month,is_weekend,lag_1,lag_7,rolling_mean_7,rolling_std_7,cups_transformed,seasonal_diff
2024-03-02,6.0,,,5,3,1,11.0,,,,3.268870245464171,
2024-03-03,9.0,,,6,3,1,6.0,,,,4.288546465959664,
2024-03-04,4.0,,,0,3,0,9.0,,,,2.4583929933523225,
2024-03-05,9.0,,,1,3,0,4.0,,,,4.288546465959664,
2024-03-06,4.0,,,2,3,0,9.0,,,,2.4583929933523225,
2024-03-07,4.0,6.714285714285714,,3,3,0,4.0,,6.714285714285714,2.927700218845599,2.4583929933523225,
2024-03-08,8.0,6.285714285714286,,4,3,1,4.0,11.0,6.285714285714286,2.360387377408329,3.9684305052156463,-0.9149797522522589
2024-03-09,13.0,7.285714285714286,,5,3,1,8.0,6.0,7.285714285714286,3.450327796711771,5.429882324995789,2.1610120795316177
2024-03-10,3.0,6.428571428571429,,6,3,1,13.0,9.0,6.428571428571429,3.6903993847614402,1.9905713502710312,-2.297975115688633
2024-03-11,4.0,6.428571428571429,,0,3,0,3.0,4.0,6.428571428571429,3.6903993847614402,2.4583929933523225,0.0
2024-03-12,6.0,6.0,,1,3,0,4.0,9.0,6.0,3.5118845842842457,3.268870245464171,-1.019676220495493
2024-03-13,8.0,6.571428571428571,,2,3,0,6.0,4.0,6.571428571428571,3.457221565416505,3.9684305052156463,1.5100375118633238
2024-03-14,11.0,7.571428571428571,,3,3,0,8.0,4.0,7.571428571428571,3.598941643369749,4.883410257467905,2.4250172641155827
2024-03-15,2.0,6.714285714285714,,4,3,1,11.0,8.0,6.714285714285714,4.15187851918806,1.4587436715173356,-2.5096868336983107
2024-03-16,6.0,5.714285714285714,,5,3,1,2.0,13.0,5.714285714285714,3.0937725468153863,3.268870245464171,-2.1610120795316177
2024-03-17,1.0,5.428571428571429,,6,3,1,6.0,3.0,5.428571428571429,3.4572215654165035,0.8265713499338843,-1.164000000337147
2024-03-18,4.0,5.428571428571429,,0,3,0,1.0,4.0,5.428571428571429,3.4572215654165035,2.4583929933523225,0.0
2024-03-19,4.0,5.142857142857143,,1,3,0,4.0,6.0,5.142857142857143,3.4846602621858462,2.4583929933523225,-0.8104772521118484
2024-03-20,5.0,4.714285714285714,,2,3,0,4.0,8.0,4.714285714285714,3.251373336211724,2.8808134117641266,-1.0876170934515197
2024-03-21,4.0,3.7142857142857144,,3,3,0,5.0,11.0,3.7142857142857144,1.7043362064926872,2.4583929933523225,-2.4250172641155827
2024-03-22,5.0,4.142857142857143,,4,3,1,4.0,2.0,4.142857142857143,1.5735915849388802,2.8808134117641266,1.422069740246791
